battery_capacity,current_battery_level,charging_power,temperature,charging_station_type,charging_time_minutes
78,86,125,36,DC_Fast,30.0
91,82,216,41,DC_Fast,30.0
68,75,152,25,AC_Slow,30.0
54,28,82,46,AC_Slow,39.21942050060428
82,16,18,-2,AC_Slow,305.799224132354
47,72,140,11,DC_Fast,30.0
60,51,308,45,DC_Fast,30.0
78,51,284,17,AC_Slow,30.0
97,68,83,15,DC_Fast,31.183607387751586
58,29,247,41,DC_Fast,30.0
62,82,197,-1,AC_Slow,30.0
50,26,246,45,DC_Fast,30.0
50,36,55,36,DC_Fast,41.846603316827604
63,56,236,-8,AC_Slow,30.0
92,11,263,-9,AC_Slow,34.685546571058104
75,72,222,43,AC_Slow,30.0
79,71,210,26,DC_Fast,30.0
63,28,318,45,AC_Slow,30.0
42,26,315,20,DC_Fast,30.0
61,78,124,22,AC_Slow,30.0
92,48,84,21,AC_Slow,44.488965327565964
41,80,46,32,AC_Slow,30.0
63,48,25,1,DC_Fast,97.69412785457132
83,45,14,47,AC_Slow,258.2136486685052
69,49,317,-8,AC_Slow,30.0
77,54,157,44,DC_Fast,30.0
41,13,316,37,DC_Fast,30.0
99,34,298,15,AC_Slow,30.0
60,78,90,3,AC_Slow,30.0
72,39,117,1,AC_Slow,30.0
51,85,193,41,DC_Fast,30.0
97,77,116,15,DC_Fast,30.0
61,38,179,5,AC_Slow,30.0
83,82,314,42,AC_Slow,30.0
64,77,306,-3,AC_Slow,30.0
88,60,8,38,AC_Slow,353.1437976070264
66,33,226,38,DC_Fast,30.0
98,23,225,17,DC_Fast,30.0
81,78,175,-4,DC_Fast,30.0
67,27,322,4,AC_Slow,30.0
99,51,217,49,AC_Slow,30.0
55,66,257,30,DC_Fast,30.0
54,21,128,25,AC_Slow,30.0
86,26,132,-3,DC_Fast,33.82324406524833
90,39,217,-1,AC_Slow,30.59239699820809
83,84,116,4,AC_Slow,30.0
94,32,89,44,AC_Slow,64.23995177172716
91,10,8,7,DC_Fast,710.3028371028661
96,88,69,35,AC_Slow,30.0
42,41,322,26,AC_Slow,30.0
76,18,124,30,DC_Fast,40.30918579920484
90,24,247,34,AC_Slow,32.027103508376904
46,37,141,46,AC_Slow,30.0
60,33,251,40,DC_Fast,30.0
48,69,49,32,AC_Slow,41.818117590180805
78,44,150,33,DC_Fast,30.0
57,36,180,24,AC_Slow,30.0
43,85,46,-9,AC_Slow,30.0
64,29,301,44,DC_Fast,30.0
99,74,93,11,AC_Slow,30.0
53,58,222,4,DC_Fast,30.0
89,10,232,26,AC_Slow,36.72769936541872
97,19,302,28,DC_Fast,30.0
48,56,295,25,AC_Slow,30.0
65,68,71,-6,AC_Slow,30.0
92,71,255,46,AC_Slow,30.0
41,27,45,37,AC_Slow,47.83599877996499
59,55,103,4,AC_Slow,34.742053531393765
67,41,310,16,DC_Fast,30.0
86,36,346,5,AC_Slow,30.0
99,27,83,46,DC_Fast,73.40326218247975
46,48,305,25,DC_Fast,30.0
83,58,203,27,AC_Slow,30.0
47,53,151,7,AC_Slow,30.0
86,81,110,24,AC_Slow,30.0
74,63,197,14,DC_Fast,30.0
53,43,126,11,AC_Slow,30.0
56,80,81,45,AC_Slow,30.0
75,45,316,20,AC_Slow,30.0
89,27,116,48,AC_Slow,54.34733066635724
79,47,301,26,AC_Slow,30.0
43,68,174,23,AC_Slow,30.0
41,18,10,12,DC_Fast,231.8338908624798
45,82,201,5,AC_Slow,30.0
93,81,102,-5,DC_Fast,30.0
81,60,333,48,DC_Fast,30.0
43,44,234,4,AC_Slow,30.0
93,14,172,7,AC_Slow,36.992684719843076
68,23,301,27,DC_Fast,30.0
57,39,269,2,AC_Slow,30.0
65,13,12,13,AC_Slow,375.4070439743812
83,48,176,2,AC_Slow,30.0
73,73,199,-10,AC_Slow,30.0
49,34,273,37,DC_Fast,30.0
75,37,23,25,DC_Fast,136.85142282327428
53,85,53,38,DC_Fast,30.0
70,75,342,7,AC_Slow,30.0
87,87,162,37,DC_Fast,30.0
54,31,70,22,DC_Fast,35.93568177078533
